title,company,location,work_type,level,compensation,link,id,scraped_date
"Staff Software Engineer, AI/ML Focus",Cambiar Education,"California, USA",Remote,Senior level,140K-170K Annually,https://www.builtinla.com/job/staff-software-engineer-ai-ml-focus/7902495,7902495,2026-02-04
"Lead Software Engineer, AI Planning",Divergent,"Torrance, CA, USA",In-Office,Mid level,156K-214K Annually,https://www.builtinla.com/job/lead-software-engineer-ai-planning/7975568,7975568,2026-02-04
Full Stack Developer with AI Model Experience (React.js/Node.js/TypeScript),Bee Techy,"Los Angeles, CA, USA",In-Office or Remote,Mid level,20-25 Hourly,https://www.builtinla.com/job/full-stack-developer-ai-model-experience-react-js-node-js-typescript/8203563,8203563,2026-02-04
Staff AI/ML Engineer,Cambiar Education,"California, USA",Remote,Senior level,130K-160K Annually,https://www.builtinla.com/job/staff-ai-ml-engineer/7863307,7863307,2026-02-04
"Senior Software Engineer, AI Systems",Subject,"Los Angeles, CA, USA",In-Office,Senior level,255K-285K Annually,https://www.builtinla.com/job/senior-software-engineer-ai-systems/6870134,6870134,2026-02-04
Staff Solutions Engineer - Observo AI,SentinelOne,"California, USA",,Senior level,216K-297K Annually,https://www.builtinla.com/job/sr-solutions-engineer-observo-ai/7331343,7331343,2026-02-04
Principal Full Stack Engineer - AI Product,Re:Build Manufacturing,3 Locations,In-Office,Senior level,185K-230K Annually,https://www.builtinla.com/job/principal-full-stack-engineer-ai-product/7763496,7763496,2026-02-04
Solution Engineer /SME  ( AI/Cloud Data Platform),Alteryx,8 Locations,Remote,Senior level,160K-184K Annually,https://www.builtinla.com/job/analyst-pm-gtm-cloud-data-platform/8044614,8044614,2026-02-04
Senior Software Engineer - AI Platform,StubHub,"Los Angeles, CA, USA",Hybrid,Senior level,200K-250K Annually,https://www.builtinla.com/job/senior-software-engineer-ai/6786581,6786581,2026-02-04
AI Engineer,Dentsu Creative,,,,,https://builtin.com/job/ai-engineer/8527811,8527811,2026-02-27
Senior Enterprise Applications Engineer - AI Workflows,Adyen,,,,,https://builtin.com/job/senior-enterprise-applications-engineer-ai-workflows/8403186,8403186,2026-02-27
AI Engineer - FDE (Forward Deployed Engineer),Databricks,,,,,https://builtin.com/job/ai-engineer-fde-forward-deployed-engineer/8340158,8340158,2026-02-27
AI Engineer,Optiver,,,,,https://builtin.com/job/ai-engineer/8494356,8494356,2026-02-27
AI Developer,GoSpooky,,,,,https://builtin.com/job/ai-developer/8491158,8491158,2026-02-27
"Senior Full-Stack Software Engineer, Applied AI",Circle.so,,,,,https://builtin.com/job/senior-full-stack-software-engineer-applied-ai/8431488,8431488,2026-02-27
Senior AI Infrastructure Engineer,Together AI,,,,,https://builtin.com/job/senior-backend-engineer-together-cloud/8256201,8256201,2026-02-27
Senior Python Engineer (AI Product Team),Manychat,,,,,https://builtin.com/job/senior-python-engineer-ai-product-team/8492977,8492977,2026-02-27
Senior Hardware Engineer (R&D / GPI / AI),Nebius,,,,,https://builtin.com/job/system-engineer-servers-hardware-rd-team/3688691,3688691,2026-02-27
Senior Software Engineer (Typescript / Backend) - AI/ML,ClickHouse,,,,,https://builtin.com/job/senior-software-engineer-typescript-backend-ai-ml/8503509,8503509,2026-02-27
Senior AI Engineer (x/f/m),Doctolib,,,,,https://builtin.com/job/senior-ai-engineer-x-f-m/8492018,8492018,2026-02-27
AI Software Engineer (Python),G2i,,,,,https://builtin.com/job/ai-software-engineer-python/8594228,8594228,2026-02-27
AI Software Engineer (C#),G2i,,,,,https://builtin.com/job/ai-software-engineer-c/8594211,8594211,2026-02-27
AI Software Engineer (Ruby),G2i,,,,,https://builtin.com/job/ai-software-engineer-ruby/8594219,8594219,2026-02-27
AI Software Engineer (Rust),G2i,,,,,https://builtin.com/job/ai-software-engineer-rust/8594199,8594199,2026-02-27
AI Software Engineer (Java),G2i,,,,,https://builtin.com/job/ai-software-engineer-java/8594186,8594186,2026-02-27
AI Software Engineer (C++),G2i,,,,,https://builtin.com/job/ai-software-engineer-c/8594191,8594191,2026-02-27
Legal Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,,,,,https://builtin.com/job/legal-engineer-libra-legal-ai-assistant-m-f-d/8583179,8583179,2026-02-27
"Senior AI Engineer, Device Intelligence (m/f/d)",Cepheid,,,,,https://builtin.com/job/senior-ai-engineer-device-intelligence-m-f-d/8469739,8469739,2026-02-27
Senior Machine Learning Engineer for AI Product,Qonto,,,,,https://builtin.com/job/senior-machine-learning-engineer-ai-product/8097536,8097536,2026-02-27
Platform Engineer (m/f/d) (AI Startup),Deltia,,,,,https://builtin.com/job/platform-engineer-m-f-d-ai-startup/8570685,8570685,2026-02-27
Product Engineer (AI),Parity Technologies,,,,,https://builtin.com/job/product-engineer-ai/8477104,8477104,2026-02-27
SecOps Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,,,,,https://builtin.com/job/senior-secops-engineer-libra-legal-ai-assistant-m-f-d/8311713,8311713,2026-02-27
Principal AI/ML Scientist & Engineer,Pipedrive,,,,,https://builtin.com/job/principal-ai-ml-scientist-engineer/8524226,8524226,2026-02-27
DevOps Engineer (Libra - Legal AI Assistant) (m/w/d),Wolters Kluwer,,,,,https://builtin.com/job/devops-engineer-libra-legal-ai-assistant-m-w-d/8464338,8464338,2026-02-27
Senior Software Engineer / AI Enabler (m/f/d),AutoScout24,,,,,https://builtin.com/job/senior-software-engineer-ai-enabler-m-f-d/8517321,8517321,2026-02-27
Staff AI/ML Research & Development Engineer,WeLocalize,,,,,https://builtin.com/job/staff-ai-ml-research-development-engineer/8323205,8323205,2026-02-27
"Principal Software Engineer - Fullstack, AI (all genders)",Babbel,,,,,https://builtin.com/job/principal-fullstack-engineer-all-genders/8224673,8224673,2026-02-27
AI Research Engineer - ML Engineering,Helsing,,,,,https://builtin.com/job/ai-research-engineer-ml-engineering/8453916,8453916,2026-02-27
"Senior ML Ops Engineer, AI Platform Team",GetYourGuide,,,,,https://builtin.com/job/senior-ml-ops-engineer-ai-platform-team/8428380,8428380,2026-02-27
AI Research Engineer -  Computer Vision,Helsing,,,,,https://builtin.com/job/ai-research-engineer-computer-vision/6290446,6290446,2026-02-27
AI Automation Engineer,Five9,,,,,https://builtin.com/job/ai-automation-engineer/8463730,8463730,2026-02-27
"AI Engineer, Aladdin Quality Engineering, Vice President",BlackRock,,,,,https://builtin.com/job/ai-engineer-aladdin-quality-engineering-vice-president/8598578,8598578,2026-02-27
Sr. ServiceNow CSM AI Developer,SailPoint,,,,,https://builtin.com/job/sr-servicenow-csm-ai-developer/8451206,8451206,2026-02-27
Senior AI Engineer - Machine Learning,ZS,,,,,https://builtin.com/job/senior-ai-engineer-machine-learning/7952350,7952350,2026-02-27
AI Engineer II,Rapid7,,,,,https://builtin.com/job/ai-engineer-ii/8071786,8071786,2026-02-27
Senior AI Engineer,Rapid7,,,,,https://builtin.com/job/senior-ai-engineer/8547087,8547087,2026-02-27
Staff AI Engineer,Apollo.io,,,,,https://builtin.com/job/staff-ai-engineer/6948116,6948116,2026-02-27
Applied AI Engineer (Agentic Workflows) - India,Built In,,,,,https://builtin.com/job/applied-ai-engineer-agentic-workflows-india/6248258,6248258,2026-02-27
